sample,drug,IL-2ra,MIG,MIP-1b,IL-6,IFN-a2,IFN-g,SDF-1a,IL-1ra,MCP-3,IL-16,IL-12_(p40),LIF,TNF-b,IL-5,GM-CSF,MIF,TNF-a,RANTES,IL-2,IL-1b,IL-18,Eotaxin,Basic FGF,VEGF,b-NGF,PDGF-BB,IP-10,IL-13,IL-4,MCP-1,IL-8,MIP-1a,IL-10,G-CSF,GRO-a,HGF,IL-1a,IL-3,SCF,TRAIL,M-CSF,CTACK,IL-15,IL-7,IL-12 (p70),IL-17,IL-9,SCFG-b
Sample34+auto plasma-1,Vehicle,13.19957091,3114.245895,60.65298333,4549.846976,9.965762216,14.21500033,916.7511266,181.7917867,18.8482934,187.6513209,194.4450292,74.07012957,272.0536006,7,2.115257935,1783.680728,17.87440979,1376.497717,4.114359065,1.662671864,3.778140619,6.7639789,66.57623359,5,42.63045104,154.2813166,2151.330492,0.282297547,3.905099009,239.6710551,3466.89688,17.96374822,0.828433243,426.6455798,309.3578722,11970.54732,10.62078358,0.309407083,14.6669284,13.51129278,10.38226863,655.6366444,19,20,1.5,6.114837123,138.8782384,28845.82899
Sample34+auto plasma-2,Vehicle,12.87575802,3581.832809,83.78391297,2509.215527,8.581136298,17.67144121,725.1410484,257.0967332,23.95481647,149.2203754,154.5346567,48.09504826,249.2119436,7,2.243881028,1315.94069,17.20958634,1166.74659,3.819237508,1.623574808,3.618047619,7.760774074,56.95186367,5,28.73728907,152.303641,1924.071961,0.250232308,3.905099009,318.2986103,1551.158661,28.09330221,0.413823019,604.9233449,291.4212983,7591.163702,10.41831944,0.063522887,13.339444,10.82122108,8.903517265,556.7861722,19,11,1.5,6.457139589,128.5338409,22874.64509
Sample34+auto plasma-3,Vehicle,12.01403345,2769.623231,201.5599344,3928.077704,9.000894385,35.30440014,635.0513969,838.0150909,83.16184908,150.8608258,121.1187343,59.80051448,286.7789842,7,2.830149137,1280.318366,20.92295229,4773.919173,3.280366539,3.919545141,3.538320167,9.033739877,38.57140274,5,22.81921614,220.9224811,1777.965137,0.185868186,5.269559608,437.5315646,7169.722352,75.61929898,1.589580131,1324.010566,504.7957221,5238.102032,11.84618462,0.23174957,11.49588843,15.04138815,9.902840692,649.0957478,19,2.5,1.5,5.944000419,157.1966177,20908.79398
Sample34+auto plasma-1,Vehicle,13.4156428,3117.52881,61.5953893,4925.570553,9.416802675,13.87559558,846.037504,169.3000077,17.42718395,176.2715048,196.9339974,66.50860599,233.0698669,7,2.286495629,1682.4804,17.20958634,1303.938548,4.509067014,1.545445675,2.986538658,6.840445849,66.41280653,5,37.69856417,146.405116,2121.839646,0.282297547,3.905099009,249.3034103,2743.357384,17.69821344,0.722977016,449.1055264,301.0121451,11333.02311,9.613776825,0.202986545,13.14106122,12.23726715,10.06247701,641.4055694,19,19,1.5,5.858662659,133.0798362,29485.77442
Sample34+auto plasma-2,Vehicle,12.12160474,3763.962742,78.73376222,2791.613098,9.416802675,16.79715877,782.8507852,254.2304519,27.13359494,169.4363152,177.8366609,48.51229308,239.5766997,7,2.072112111,1230.173669,14.80915692,1465.627745,3.573932891,1.58449929,2.986538658,8.261261992,59.0273821,5,39.17204353,132.8484291,2187.765237,0.266273491,4.027374166,316.9397683,1375.068705,29.43945179,0.618611136,555.624142,308.3234618,8658.866361,9.613776825,0.127509789,12.21795739,10.58710513,9.83447876,599.205666,19,9,1.5,5.68815129,135.011058,22962.33989
Sample34+auto plasma-3,Vehicle,11.15500031,2988.95889,202.2939806,4002.478593,8.157262392,33.65938805,653.4277727,834.1347321,86.16490605,160.4171148,132.8339198,59.80051448,323.8942714,7,2.788948152,1288.620884,21.84789721,4972.342606,2.550657946,4.079661115,3.379521476,10.19768143,39.18638416,5,26.71169526,210.2463381,1949.309369,0.088460261,5.269559608,425.3483699,5141.476216,80.51484284,1.589580131,1459.373794,505.537115,5713.005456,12.05212736,0.165001077,11.75812009,12.47508747,10.13094584,656.7913258,19,2.5,1.5,6.114837123,172.9972522,21145.30179
Sample34+auto plasma+sara 25uM-1,Saracatinib ,6.434436655,2044.788285,44.18288808,87.76389521,5.198113712,9.74286194,526.3417507,93.81522716,10.82530627,82.95856129,144.5272949,19.90895474,231.5026518,7,1.312687463,394.9710834,10.6439221,946.447558,1.923917467,1.078673415,1.41296684,10.70385948,42.59105336,5,29.93491116,112.1610116,2391.057424,0.088460261,2.613352718,123.3413091,95.55860617,9.937730954,1.092346191,293.4478393,179.0509957,5420.733529,6.490590067,0.095336914,8.12608842,6.039515187,5.469805311,415.0813607,19,2.5,1.5,4.080248022,132.8040754,17307.59336
Sample34+auto plasma+sara 25uM-2,Saracatinib ,11.58417139,2369.531677,56.65752364,408.4689854,6.413837633,11.37019424,731.7750508,268.5123911,16.63152153,257.8881159,157.0344243,26.50102673,235.7928463,7,1.721459298,1742.897701,12.26160706,1518.060721,2.793181687,1.50641435,2.908665048,6.001385783,56.86672184,5,27.30607492,128.0789999,2386.20855,0.185868186,3.203749693,149.8132554,342.1780218,20.11169587,0.413823019,402.3276795,316.5312671,7694.81993,8.423793935,0.127509789,10.19083195,7.975902913,11.27665606,409.4383401,19,2.5,1.5,4.248393093,121.7994445,25425.44664
Sample34+auto plasma+sara 25uM-3,Saracatinib ,8.489716016,2426.41047,51.90814724,334.3055674,6.114536133,8.784855269,660.4385532,105.7317331,8.780565496,149.0778952,160.36622,21.55394434,229.8339643,7,1.40509206,849.53613,10.6439221,1123.166472,2.1161264,1.195019357,2.069973764,8.685762573,47.62757607,5,26.11849345,134.7670075,2347.146291,0.153539771,2.570653196,102.7762803,192.4387278,10.94583644,0.032520747,260.7068851,228.1222377,6820.249749,6.871787974,0.095336914,9.607063271,7.373919823,7.821914937,475.4701516,19,2.5,1.5,2.99482519,117.1374017,23589.34384
Sample34+auto plasma+sara 25uM-1,Saracatinib ,6.696595263,2012.41283,47.31800886,88.26428679,5.506905781,7.997974208,545.4053175,88.74349989,10.31896174,82.56702806,164.5290502,19.90895474,240.7360259,7,1.359014614,408.94145,10.6439221,904.4880329,1.020630322,0.962588394,0.858738823,10.85981446,40.82875483,5,27.30607492,106.6572533,2369.244452,0.233154297,2.182645789,128.2024245,103.2310359,9.797150985,1.092346191,258.158459,189.6135036,5604.92274,5.365200465,0.095336914,7.233041647,5.747089806,5.843263017,402.6709724,19,2.5,1.5,3.077814306,135.2870751,18203.18326
Sample34+auto plasma+sara 25uM-2,Saracatinib ,14.38986184,2874.100375,69.61438018,494.517491,7.295913755,15.75676588,836.1350426,299.3439363,19.24066516,311.6709155,174.511601,30.63573223,277.3025894,7,1.985390297,2032.119125,12.79924933,2025.866656,2.74461715,1.662671864,3.898755244,7.223316412,65.18374487,5,36.71923799,191.3368628,2852.097188,0.185868186,3.494388039,154.1820971,447.866823,23.65985552,0.515489925,535.5980499,343.192445,10592.02668,10.41831944,0.019969381,12.02074079,10.82122108,13.87202201,506.9354076,19,3.5,1.5,5.09315287,150.1016952,27567.14022
Sample34+auto plasma+sara 25uM-3,Saracatinib ,8.172042623,2471.081176,47.75663019,345.8644651,5.963796774,7.608676248,668.3326995,104.7512662,8.173489321,149.3628824,156.2012572,20.73117635,219.2689075,7,1.312687463,800.1144592,10.50876848,1192.667414,1.493826184,1.078673415,1.847662615,8.145647647,47.58288118,5,28.85685148,122.4075015,2415.315484,0.055599676,2.226110109,102.521347,155.8174075,10.70080654,0.216235966,282.8054232,205.3796882,7329.665309,5.550767593,0.095336914,9.412985356,6.628981471,8.158907964,484.5589314,19,2.5,1.5,3.57758509,120.2901793,23108.7592